"172","INTELBRAS S/A - IND DE TEL ELET BRA","030562/01",NULL,"2025-08-13",NULL,NULL,"117.41","Pago","Ref. a NF nº 030562","Importação PDF"
"173","INTELBRAS S/A - IND DE TEL ELET BRA","031963/01",NULL,"2025-08-22",NULL,NULL,"33945.61","Pago","Ref. a NF nº 031963","Importação PDF"
"174","INTELBRAS S/A - IND DE TEL ELET BRA","034780/01",NULL,"2025-10-08",NULL,NULL,"503.68","Pago","Ref. a NF nº 034780","Importação PDF"
"175","INTELBRAS S/A - IND DE TEL ELET BRA","034779/01",NULL,"2025-10-08",NULL,NULL,"34250.45","Pago","Ref. a NF nº 034779","Importação PDF"
"176","INTELBRAS S/A - IND DE TEL ELET BRA","034779/02",NULL,"2025-11-05",NULL,NULL,"34250.45","Pago","Ref. a NF nº 034779","Importação PDF"
"177","INTELBRAS S/A - IND DE TEL ELET BRA","034780/02",NULL,"2025-11-05",NULL,NULL,"503.68","Pago","Ref. a NF nº 034780","Importação PDF"
"178","INTELBRAS S/A - IND DE TEL ELET BRA","034779/03",NULL,"2025-12-03",NULL,NULL,"34260.74","Pago","Ref. a NF nº 034779","Importação PDF"
"179","INTELBRAS S/A - IND DE TEL ELET BRA","034780/03",NULL,"2025-12-03",NULL,NULL,"503.84","Pago","Ref. a NF nº 034780","Importação PDF"
"180","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","365566/01",NULL,"2025-10-03",NULL,NULL,"5000.01","Pago","Ref. NF 365566","Importação PDF"
"181","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","365858/01",NULL,"2025-10-09",NULL,NULL,"7637.27","Pago","Ref. a NF nº 365858 - Antecipado 50% À vista","Importação PDF"
"182","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","366686/01",NULL,"2025-10-27",NULL,NULL,"13227.30","Pago","Ref. a NF nº 366686 - 50% pago à vista","Importação PDF"
"183","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","365566/02",NULL,"2025-11-03",NULL,NULL,"6171.12","Pago","Ref. NF 365566","Importação PDF"
"184","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","367061/01",NULL,"2025-11-03",NULL,NULL,"9740.68","Pago","Ref. a NF nº 367061","Importação PDF"
"185","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","365858/02",NULL,"2025-11-10",NULL,NULL,"6435.67","Pago","Ref. a NF nº 365858 - Antecipado 50% À vista","Importação PDF"
"186","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","368113/01",NULL,"2025-11-24",NULL,NULL,"7669.03","Pago","Ref. a NF nº 368113","Importação PDF"
"187","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","368110/01",NULL,"2025-11-24",NULL,NULL,"5290.92","Pago","Ref. a NF nº 368110 - Pagamento 50% a vista - alteração de valores de parcelas","Importação PDF"
"188","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","366686/02",NULL,"2025-11-24",NULL,NULL,"13227.30","Pago","Ref. a NF nº 366686 - 50% pago à vista","Importação PDF"
"189","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","368487/01",NULL,"2025-12-01",NULL,NULL,"2622.07","Pago","Ref. a NF nº 368487","Importação PDF"
"190","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","367061/02",NULL,"2025-12-01",NULL,NULL,"8755.66","Pago","Ref. a NF nº 367061","Importação PDF"
"191","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","365566/03",NULL,"2025-12-02",NULL,NULL,"6171.12","Pago","Ref. NF 365566","Importação PDF"
"192","KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA","368712/01",NULL,"2025-12-05",NULL,NULL,"3417.37","Pago","Ref. a NF nº 368712","Importação PDF"
